num,title,artist
1,Sabar,Shadow and Light
2,Heer,2018
3,Raid,Tanishk Bagchi
4,Hate Story IV,Tanishk Bagchi
5,Dil Jaane Na,Abhishek Arora
6,Vibe,The PropheC
7,Baaghi 2,Sandeep Shirodkar
8,Blackmail,Badshah
9,Zee Music Originals,Jeet Gannguli
10,Mercury,Mithoon
11,Dost,Vipin Heero
12,Pari,Anupam Roy
13,Haq Hai,Shreyas Puranik
14,Hichki,Jasleen Royal
15,Naina,2018
16,Sonu Ke Titu Ki Sweety,Yo Yo Honey Singh
17,Dil Juunglee,Guru Randhawa
18,Baa Baaa Black Sheep,Superbia (Gourov-Roshin-Shaan)
19,Nusrat - Bollywood Originals,Nusrat Fateh Ali Khan
20,Kaala (Hindi),Santhosh Narayanan
21,Dil Mera Churaya Kyun- Recreated,Anu Malik
22,3 Storeys,Clinton Cerejo
23,Wirdd (feat. Javed Ali),Ayaz Ismail
24,Welcome to NewYork,Shamir Tandon
25,Bom Diggy (Dillon Francis Remix),Zack Knight
26,Jeeta Tha Jiske Liye - Recreated,Nadeem-Shravan
27,No Boundaries - Single,Black Zang
28,Veerey Ki Wedding,Farzan Faaiz
29,Gabru - Hip Hop Ke Shehzade,Earl Edgar
30,Daas Dev,Vipin Patwa
31,Bahut Pyar Karte Hai - Recreated,Nadeem-Shravan
32,Dil Hi Dawa,Siddharth Parshar
33,Aiyaary,Rochak Kohli
34,Bollywood Holi - Bollywood Holi Songs,Parichay
35,Holi Spirit 2018,Harry Anand
36,"Cafe Classics, Vol. 1",Jatin Pandit
37,Dhatt,Sumit
38,Kabhi Kabhi - Akbar Sami,Akbar Sami
39,"Nain Phisal Gaye (From ""Welcome to NewYork"")",Wajid Khan
40,Mix Track Bollywood Mashup,Anu Malik
41,Pyaar Forever - Valentines 2018,Vishal-Shekhar
42,Padman,Amit Trivedi
43,Dard-E-Dil,Nadeem-Shravan
44,Valentines Mashup By DJ Aqeel,Pritam Chakraborty
45,Discovery Jeet,Subhajit Mukherjee
46,Jab Koi Baat - DJ Chetas,Rajesh Roshan
47,ZEE5,Amit Trivedi
48,Teri Yaad Aati Hai,Dj Sheizwood
49,A Death in the Gunj,Sagar Desai
50,"Cafe Classics, Vol. 2 (Love Duets)",Sandesh Shandilya
,,
